State,year,total_count
AK,2020,2777759
AK,2021,31089060
AK,2022,90529248
AL,2020,32217670
AL,2021,227663090
AL,2022,502365518
AR,2020,18397551
AR,2021,144377805
AR,2022,309760103
AZ,2020,46886988
AZ,2021,350157500
AZ,2022,769065776
CA,2020,188572965
CA,2021,1447254117
CA,2022,3412133021
CO,2020,23318945
CO,2021,212502967
CO,2022,543450795
CT,2020,17213690
CT,2021,126903933
CT,2022,296609768
DC,2020,3645834
DC,2021,18961405
DC,2022,55541346
DE,2020,5154799
DE,2021,41481853
DE,2022,102922695
FL,2020,138118991
FL,2021,977521262
FL,2022,2347012961
GA,2020,61158957
GA,2021,361538202
GA,2022,748927130
HI,2020,2091838
HI,2021,18477211
HI,2022,107297196
IA,2020,23086066
IA,2021,145878389
IA,2022,291061578
ID,2020,10538946
ID,2021,79181748
ID,2022,167323137
IL,2020,81619473
IL,2021,526896575
IL,2022,1226056287
IN,2020,35838794
IN,2021,299749084
IN,2022,649931409
KS,2020,15835693
KS,2021,128282146
KS,2022,295712737
KY,2020,18337013
KY,2021,195440465
KY,2022,514922153
LA,2020,34864423
LA,2021,205766787
LA,2022,480515776
MA,2020,37769910
MA,2021,246895482
MA,2022,627420956
MD,2020,29047978
MD,2021,171781646
MD,2022,410029514
ME,2020,1556530
ME,2021,26867012
ME,2022,94138584
MI,2020,42129208
MI,2021,367299291
MI,2022,945409072
MN,2020,29930855
MN,2021,233199851
MN,2022,539732532
MO,2020,34070578
MO,2021,251191675
MO,2022,506694031
MS,2020,20515722
MS,2021,136887461
MS,2022,307131848
MT,2020,4995471
MT,2021,46792480
MT,2022,104203928
NC,2020,46102724
NC,2021,405237915
NC,2022,1042407933
ND,2020,6699552
ND,2021,43654857
ND,2022,91431413
NE,2020,13027412
NE,2021,86939017
NE,2022,181074429
NH,2020,2704264
NH,2021,38665756
NH,2022,117906648
NJ,2020,57189415
NJ,2021,370633470
NJ,2022,901550543
NM,2020,9583740
NM,2021,82072190
NM,2022,204940501
NV,2020,18098714
NV,2021,130780374
NV,2022,277652515
NY,2020,125044071
NY,2021,769936278
NY,2022,2014130205
OH,2020,44802253
OH,2021,442128245
OH,2022,1049741508
OK,2020,20507184
OK,2021,184304120
OK,2022,398759889
OR,2020,8321955
OR,2021,88684129
OR,2022,287600056
PA,2020,46122277
PA,2021,455949792
PA,2022,1093025160
RI,2020,6811311
RI,2021,55711577
RI,2022,137016572
SC,2020,29296034
SC,2021,242240526
SC,2022,529037349
SD,2020,7212470
SD,2021,47776723
SD,2022,89676589
TN,2020,44138922
TN,2021,355494621
TN,2022,775970742
TX,2020,157033313
TX,2021,1191463471
TX,2022,2602059962
UT,2020,19937516
UT,2021,162615824
UT,2022,354320297
VA,2020,32855598
VA,2021,263798657
VA,2022,677743555
VT,2020,560945
VT,2021,10102240
VT,2022,47153626
WA,2020,20994437
WA,2021,184422309
WA,2022,588929360
WI,2020,38299345
WI,2021,267311675
WI,2022,625819667
WV,2020,4657018
WV,2021,68391480
WV,2022,195589713
WY,2020,2579132
WY,2021,26469021
WY,2022,59843797
